Name,CountryCode,Population
Edinburgh,GBR,450180.0
Edmonton,CAN,616306.0
Eindhoven,NLD,201843.0
Ejigbo,NGA,105900.0
Ekibastuz,KAZ,127200.0
El Araich,MAR,90400.0
Elche [Elx],ESP,193174.0
ElÃ¢zig,TUR,228815.0
Embu,BRA,222223.0
Enschede,NLD,149544.0
Enshi,CHN,93056.0
Enugu,NGA,316100.0
Envigado,COL,135848.0
Epe,NGA,101000.0
Erode,IND,159232.0
Escobar,ARG,116675.0
Eslamshahr,IRN,265450.0
Esmeraldas,ECU,123045.0
Essen,DEU,599515.0
Etawah,IND,124072.0
EunÃ¡polis,BRA,96610.0
Exeter,GBR,111000.0
Ezeiza,ARG,99578.0
Ezhou,CHN,190123.0
Fagatogo,ASM,2323.0
Faizabad,IND,124437.0
Fargona,UZB,180500.0
Faridabad,IND,703592.0
Farrukhabad-cum-Fatehgarh,IND,194567.0
Feira de Santana,BRA,479992.0
Fengcheng,CHN,193784.0
Fengyuan,TWN,161032.0
Ferrara,ITA,132127.0
Ferraz de Vasconcelos,BRA,139283.0
Firenze,ITA,376662.0
Firozabad,IND,215128.0
Flint,USA,124943.0
Florencia,COL,108574.0
Florencio Varela,ARG,315432.0
FlorianÃ³polis,BRA,281928.0
Floridablanca,COL,221913.0
Foggia,ITA,154891.0
ForlÃ¬,ITA,107475.0
Formosa,ARG,147636.0
Fort Worth,USA,534694.0
Fortaleza,BRA,2097757.0
Foshan,CHN,303160.0
Foz do IguaÃ§u,BRA,259425.0
Francistown,BWA,101805.0
Freiburg im Breisgau,DEU,202455.0
Fuchu,JPN,220576.0
Fuenlabrada,ESP,171173.0
Fuji,JPN,231527.0
Fujieda,JPN,126897.0
Fujin,CHN,103104.0
Fujisawa,JPN,372840.0
Fukaya,JPN,102156.0
Fukuyama,JPN,376921.0
Fuling,CHN,173878.0
Funabashi,JPN,545299.0
Fushun,CHN,1200000.0
Fuxin,CHN,640000.0
Fuyang,CHN,179572.0
Fuzhou,CHN,1593800.0
FÃ¼rth,DEU,109771.0
Gaborone,BWA,213017.0
Gadag Betigeri,IND,134051.0
Gandhidham,IND,104585.0
Gandhinagar,IND,123359.0
Ganganagar,IND,161482.0
Ganzhou,CHN,220129.0
Garden Grove,USA,165196.0
Garut,IDN,95800.0
Gaya,IND,291675.0
Gazipur,BGD,96717.0
Gdansk,POL,458988.0
Gdynia,POL,253521.0
Geelong,AUS,125382.0
General Mariano Alvarez,PHL,112446.0
General San MartÃ­n,ARG,422542.0
Gent,BEL,224180.0
George,ZAF,93818.0
George Town,CYM,19600.0
Georgetown,GUY,254000.0
Gera,DEU,114718.0
Germiston,ZAF,164252.0
Getafe,ESP,145371.0
Ghaziabad,IND,454156.0
Ghulja,CHN,177193.0
Gibraltar,GIB,27025.0
Gifu,JPN,408007.0
GijÃ³n,ESP,267980.0
Gilbert,USA,109697.0
Gillingham,GBR,92000.0
Giron,COL,90688.0
Giza,EGY,2221868.0
Gjumri,ARM,211700.0
Gliwice,POL,212164.0
Gloucester,CAN,107314.0
Gloucester,GBR,107000.0
Godhra,IND,96813.0
GoiÃ¢nia,BRA,1056330.0
Goma,COD,109094.0
Gonbad-e Qabus,IRN,111253.0
Gongziling,CHN,226569.0
Gorakhpur,IND,505566.0
Gorgan,IRN,188710.0
Gothenburg [GÃ¶teborg],SWE,466990.0
Granada,ESP,244767.0
Graz,AUT,240967.0
Grenoble,FRA,153317.0
Grimsby,GBR,89000.0
Groningen,NLD,172701.0
Guadalupe,MEX,108881.0
Guarapuava,BRA,160510.0
GuaratinguetÃ¡,BRA,103433.0
Guarenas,VEN,165889.0
GuarujÃ¡,BRA,237206.0
Guarulhos,BRA,1095874.0
Guasave,MEX,277201.0
Guayaquil,ECU,2070040.0
GuaymallÃ©n,ARG,200595.0
Guaymas,MEX,130108.0
GuaÃ­ba,BRA,92224.0
Gudivada,IND,101656.0
Guelph,CAN,103593.0
Guigang,CHN,114025.0
Guilin,CHN,364130.0
Gujranwala,PAK,1124749.0
Gujrat,PAK,250121.0
Gulbarga,IND,304099.0
Guntur,IND,471051.0
Gurgaon,IND,128608.0
Guwahati (Gauhati),IND,584342.0
Gwalior,IND,690765.0
GÃ¤ncÃ¤,AZE,299300.0
GÃ¶ttingen,DEU,124775.0
GÃ¼tersloh,DEU,95028.0
Haag,NLD,440900.0
Haarlem,NLD,148772.0
Haarlemmermeer,NLD,110722.0
Habikino,JPN,118968.0
Habra,IND,100223.0
Haeju,PRK,229172.0
Hagonoy,PHL,111425.0
Haicheng,CHN,205560.0
Hailun,CHN,133565.0
Haining,CHN,100478.0
Haldia,IND,100347.0
Haldwani-cum-Kathgodam,IND,104195.0
Halifax,CAN,113910.0
Halifax,GBR,91069.0
Halisahar,IND,114028.0
Hamamatsu,JPN,568796.0
Hamhung,PRK,709730.0
Hami,CHN,161315.0
Hamilton,BMU,1200.0
Hamilton,CAN,335614.0
Handa,JPN,108600.0
Hangzhou,CHN,2190500.0
Hanoi,VNM,1410000.0
Hanzhong,CHN,169930.0
Haora (Howrah),IND,950435.0
Harbin,CHN,4289800.0
Hardwar (Haridwar),IND,147305.0
Harkova [Harkiv],UKR,1500000.0
Hassan,IND,90803.0
Hat Yai,THA,148632.0
Hazaribag,IND,97712.0
Hebi,CHN,212976.0
Hefei,CHN,1369100.0
Hegang,CHN,520000.0
Heidelberg,DEU,139672.0
Helsingborg,SWE,117737.0
Hengshui,CHN,104269.0
Hengyang,CHN,487148.0
Hermosillo,MEX,608697.0
Heze,CHN,189293.0
Higashiosaka,JPN,517785.0
Himeji,JPN,475167.0
Hims,SYR,507404.0
Hindupur,IND,104651.0
Hino,JPN,166770.0
Hiratsuka,JPN,254207.0
Hirosaki,JPN,177522.0
Hiroshima,JPN,1119117.0
Hisar (Hissar),IND,172677.0
Hitachinaka,JPN,148006.0
Hobart,AUS,126118.0
Hodeida,YEM,298500.0
Hohhot,CHN,916700.0
Hong Gai,VNM,127484.0
Honghu,CHN,190772.0
Hongjiang,CHN,116188.0
Honiara,SLB,50100.0
HortolÃ¢ndia,BRA,135755.0
Hoshiarpur,IND,122705.0
Hospet,IND,96322.0
Hradec KrÃ¡lovÃ©,CZE,98080.0
Huaibei,CHN,366549.0
Huaihua,CHN,126785.0
Huainan,CHN,700000.0
Huaiyin,CHN,239675.0
HuaiÂ´an,CHN,131149.0
Hualien,TWN,108407.0
Huambo,AGO,163100.0
Huangshan,CHN,102628.0
Huangshi,CHN,457601.0
Huangyan,CHN,89288.0
Huddersfield,GBR,143726.0
Huelva,ESP,140583.0
Hugli-Chinsurah,IND,151806.0
Huizhou,CHN,161023.0
Hurlingham,ARG,170028.0
Huzhou,CHN,218071.0
HuÃ¡nuco,PER,129688.0
Hyesan,PRK,178020.0
Ibaraki,JPN,261020.0
Ibarra,ECU,130643.0
Ibb,YEM,103300.0
IbiritÃ©,BRA,125982.0
Ica,PER,194820.0
Ichihara,JPN,279280.0
Ichikawa,JPN,441893.0
Idfu,EGY,94200.0
Iguala de la Independencia,MEX,123883.0
Iida,JPN,107583.0
Ikare,NGA,140800.0
Ikoma,JPN,111645.0
Ikorodu,NGA,184900.0
Iksan,KOR,322685.0
Ila,NGA,264000.0
Ilam,IRN,126346.0
IlhÃ©us,BRA,254970.0
Iligan,PHL,285061.0
Iloilo,PHL,365820.0
Imabari,JPN,119357.0
Imperatriz,BRA,224564.0
Imus,PHL,195482.0
Inazawa,JPN,98746.0
Indaiatuba,BRA,135968.0
Indore,IND,1091674.0
Ingraj Bazar (English Bazar),IND,139204.0
Innsbruck,AUT,111752.0
Ipswich,GBR,114000.0
Iquique,CHL,177892.0
Iquitos,PER,367000.0
Irbil,IRQ,485968.0
Isahaya,JPN,93058.0
Ise,JPN,101732.0
Isehara,JPN,98123.0
Isesaki,JPN,123285.0
Ishinomaki,JPN,120963.0
Isparta,TUR,121911.0
Istanbul,TUR,8787958.0
ItaboraÃ­,BRA,173977.0
Itabuna,BRA,182148.0
ItagÃ¼Ã­,COL,228985.0
Itaituba,BRA,101320.0
Itami,JPN,190886.0
Itapetininga,BRA,119391.0
Itu,BRA,132736.0
Ituiutaba,BRA,90507.0
Izmit (Kocaeli),TUR,210068.0
Izumi,JPN,166979.0
JaboatÃ£o dos Guararapes,BRA,558680.0
Jacobina,BRA,96131.0
Jaffna,LKA,149000.0
Jahrom,IRN,94200.0
Jaipur,IND,1458483.0
Jakarta,IDN,9604900.0
Jakutsk,RUS,195400.0
Jalandhar (Jullundur),IND,509510.0
Jalgaon,IND,242193.0
Jalna,IND,174985.0
Jamestown,SHN,1500.0
Jammu,IND,214737.0
Jamnagar,IND,341637.0
JaraguÃ¡ do Sul,BRA,102580.0
Jaunpur,IND,136062.0
Jaya Pura,IDN,94700.0
JaÃº,BRA,109965.0
JequiÃ©,BRA,179128.0
Jerez de la Frontera,ESP,182660.0
Jerusalem,ISR,633700.0
Jessentuki,RUS,97900.0
Jessore,BGD,139710.0
Jevpatorija,UKR,112000.0
Jhansi,IND,300850.0
Jhelum,PAK,145800.0
Jiangmen,CHN,230587.0
Jiangyin,CHN,213659.0
Jiangyou,CHN,175753.0
Jiaohe,CHN,176367.0
Jiaonan,CHN,121397.0
Jiaozuo,CHN,409100.0
Jieyang,CHN,98531.0
Jilin,CHN,1040000.0
Jinan,CHN,2278100.0
Jinchang,CHN,105287.0
Jincheng,CHN,136396.0
Jingdezhen,CHN,281183.0
Jinhua,CHN,144280.0
Jining,CHN,265248.0
Jinmen,CHN,160794.0
Jinzhou,CHN,332880.5
Jirja,EGY,95400.0
Jiutai,CHN,180130.0
JiÂ´an,CHN,148583.0
Jodhpur,IND,666279.0
Joetsu,JPN,133505.0
Johannesburg,ZAF,756653.0
Joinville,BRA,428011.0
Jokohama [Yokohama],JPN,3339594.0
Jombang,IDN,92600.0
JosÃ© C. Paz,ARG,221754.0
JoÃ£o Pessoa,BRA,584029.0
Juazeiro,BRA,201073.0
Juazeiro do Norte,BRA,199636.0
Junan,CHN,90222.0
JundÃ­aÃ­,BRA,296127.0
JuÃ¡rez,MEX,1217818.0
Kabankalan,PHL,149769.0
Kabul,AFG,1780000.0
Kadoma,JPN,138953.0
Kaduna,NGA,342200.0
Kafr al-Dawwar,EGY,231978.0
Kafr al-Shaykh,EGY,124819.0
Kaifeng,CHN,510000.0
Kaiserslautern,DEU,100025.0
Kaiyuan,CHN,124219.0
Kakamigahara,JPN,131831.0
Kakogawa,JPN,266281.0
Kalemie,COD,101309.0
Kaliningrad,RUS,424400.0
Kalookan,PHL,1177604.0
Kalyan,IND,1014557.0
Kamagaya,JPN,100821.0
Kamakura,JPN,167661.0
Kamarhati,IND,266889.0
Kameoka,JPN,92398.0
Kananga,COD,393030.0
Kanazawa,JPN,455386.0
Kanchipuram,IND,150100.0
Kanchrapara,IND,100194.0
Kano,NGA,674100.0
Kanpur,IND,1874409.0
Kanpur Cantonment,IND,93109.0
Kanton [Guangzhou],CHN,4256300.0
Kanuma,JPN,93053.0
Karawang,IDN,145000.0
Karbala,IRQ,296705.0
Kars,TUR,93000.0
Kashiwa,JPN,320296.0
Kashiwazaki,JPN,91229.0
Kasugai,JPN,282348.0
Kasukabe,JPN,201838.0
Katowice,POL,345934.0
Kawachinagano,JPN,119666.0
Kawagoe,JPN,327211.0
Kawaguchi,JPN,452155.0
Kawanishi,JPN,149794.0
Kawasaki,JPN,1217359.0
Kayseri,TUR,475657.0
KecskemÃ©t,HUN,105606.0
Kediri,IDN,253760.0
Keelung (Chilung),TWN,385201.0
Kelang,MYS,243355.0
Kelowna,CAN,89442.0
Kendari,IDN,94800.0
Kerman,IRN,384991.0
Kermanshah,IRN,692986.0
Khandwa,IND,145133.0
Kharagpur,IND,177989.0
Khomeynishahr,IRN,165888.0
Khorramabad,IRN,272815.0
Khoy,IRN,148944.0
Khujand,TJK,161500.0
Khulna,BGD,663340.0
Kidapawan,PHL,101205.0
Kimberley,ZAF,197254.0
Kimchaek,PRK,179000.0
Kimchon,KOR,147027.0
Kimhae,KOR,256370.0
Kimitsu,JPN,93216.0
Kingston,JAM,103962.0
Kingston upon Hull,GBR,262000.0
Kingstown,VCT,17100.0
Kinshasa,COD,5064000.0
